id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,under_pressure,outcome_id,outcome_name,counterpress,off_camera,technique_id,technique_name,aerial_won,shot_statsbomb_xg,end_z,shot_first_time,goalkeeper_position_id,goalkeeper_position_name,pass_cross,out,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_no_touch,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,shot_one_on_one,foul_committed_advantage,foul_won_advantage,foul_won_defensive,ball_recovery_recovery_failure,foul_committed_offensive,shot_deflected,block_deflection,dribble_overrun,injury_stoppage_in_chain,pass_goal_assist,pass_deflected
a1004642-1b04-42c6-93ce-362b3f9dcc7f,1,1,00:00:00,0,0,1,0.0,3877115,35,Starting XI,1975,Inter Miami,1,Regular Play,1975,Inter Miami CF,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c792ec58-0657-42f2-8c27-a391def7aef1,2,1,00:00:00,0,0,1,0.0,3877115,35,Starting XI,1975,Inter Miami,1,Regular Play,575,Toronto FC,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ac5b5c0-26c7-4025-ae4c-f250e43deffa,3,1,00:00:00,0,0,1,0.0,3877115,18,Half Start,1975,Inter Miami,1,Regular Play,575,Toronto FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3cd37e19-8b8b-4173-966e-574fda246c84,4,1,00:00:00,0,0,1,0.0,3877115,18,Half Start,1975,Inter Miami,1,Regular Play,1975,Inter Miami CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c44d9b22-0fb9-4481-bb1c-f00fb8aab34f,5,1,00:00:01.205000,0,1,2,1.054258,3877115,30,Pass,1975,Inter Miami,9,From Kick Off,1975,Inter Miami CF,,12619.0,Josef Alexander Martínez Mencia,24.0,Left Center Forward,5203.0,Sergio Busquets i Burgos,11.034492,-2.38183,1.0,Ground Pass,52.0,32.4,40.0,Right Foot,65.0,Kick Off,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7362ffcb-630d-4ae1-be28-cad51198c3e1,6,1,00:00:02.260000,0,2,2,,3877115,42,Ball Receipt,1975,Inter Miami,9,From Kick Off,1975,Inter Miami CF,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,52.0,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65287a49-4f98-4cd7-9eed-b79869ef2cdf,7,1,00:00:02.260000,0,2,2,2.792728,3877115,43,Carry,1975,Inter Miami,9,From Kick Off,1975,Inter Miami CF,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,53.7,32.4,,,,,52.0,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48f57874-9955-4664-8ca3-41a25bab4ea4,8,1,00:00:05.052000,0,5,2,0.942509,3877115,30,Pass,1975,Inter Miami,9,From Kick Off,1975,Inter Miami CF,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,225210.0,David Ruiz,7.212489,1.8662372,1.0,Ground Pass,51.6,39.3,40.0,Right Foot,,,53.7,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac1cfa3f-85d0-4d0e-9828-e8883e37902e,9,1,00:00:05.995000,0,5,2,,3877115,42,Ball Receipt,1975,Inter Miami,9,From Kick Off,1975,Inter Miami CF,,225210.0,David Ruiz,13.0,Right Center Midfield,,,,,,,,,,,,,51.6,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b76522b1-ea48-4f92-be2f-5e10c7e74cc5,10,1,00:00:05.995000,0,5,2,2.439134,3877115,43,Carry,1975,Inter Miami,9,From Kick Off,1975,Inter Miami CF,,225210.0,David Ruiz,13.0,Right Center Midfield,,,,,,,56.0,44.1,,,,,51.6,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
