player,Team,total_missed_games,total_missed_injured,total_missed_international_duty,total_missed_other,total_missed_suspended
Aaron Boupendza,Cincinnati,1,1,0,0,0
Aaron Herrera,CF Montreal,7,7,0,0,0
Aaron Long,LAFC,4,1,3,0,0
Abdi Salim,Orlando City,4,4,0,0,0
Aboubacar Keita,Colorado Rapids,20,20,0,0,0
Abraham Rodriguez,Colorado Rapids,7,7,0,0,0
Adalberto Carrasquilla,Houston Dynamo FC,3,0,2,0,1
Adam Armour,Charlotte,5,5,0,0,0
Adam Grinwis,Orlando City,4,4,0,0,0
Adam Lundkvist,Austin FC,3,3,0,0,0
Adama Diomande,Toronto FC,17,17,0,0,0
Adilson Malanda,Charlotte,3,3,0,0,0
Alan Pulido,Sporting Kansas City,5,5,0,0,0
Alan Velasco,FC Dallas,8,8,0,0,0
Alejandro Bedoya,Philadelphia Union,2,1,0,0,1
Alessandro Schöpf,Vancouver Whitecaps,2,2,0,0,0
Alex Gersbach,Colorado Rapids,11,11,0,0,0
Alexander Ring,Austin FC,1,1,0,0,0
Alexandru Matan,Columbus Crew,3,3,0,0,0
Alfredo Morales,New York City FC,1,1,0,0,0
Ali Ahmed,Vancouver Whitecaps,4,3,1,0,0
Aljaz Ivacic,Portland Timbers,5,1,0,0,4
Alvas Powell,Cincinnati,3,2,0,0,1
Amar Sejdic,Atlanta United,3,3,0,0,0
Anderson Julio,Real Salt Lake,2,2,0,0,0
Andre Blake,Philadelphia Union,2,2,0,0,0
Andreas Maxsø,Colorado Rapids,1,1,0,0,0
Andreu Fontàs,Sporting Kansas City,3,3,0,0,0
Andrew Brody,Real Salt Lake,2,2,0,0,0
Andrew Farrell,New England Revolution,3,3,0,0,0
Andrew Gutman,Atlanta United,3,3,0,0,0
Andrew Gutman,Colorado Rapids,1,1,0,0,0
Andrew Tarbell,Houston Dynamo FC,1,1,0,0,0
Andrés Cubas,Vancouver Whitecaps,7,6,0,0,1
Andrés Gómez,Real Salt Lake,1,0,0,1,0
Andrés Perea,Philadelphia Union,2,2,0,0,0
Andrés Reyes,New York Red Bulls,3,1,0,0,2
Andy Najar,DC United,9,8,1,0,0
Antonio Carrera,FC Dallas,1,1,0,0,0
Antônio Carlos,Orlando City,12,12,0,0,0
Aníbal Godoy,Nashville SC,5,3,2,0,0
Ariel Lassiter,CF Montreal,1,1,0,0,0
Arnaud Souquet,Chicago Fire FC,1,0,0,0,1
Arquímides Ordóñez,Cincinnati,9,9,0,0,0
Artur,Houston Dynamo FC,1,1,0,0,0
Ashley Westwood,Charlotte,4,4,0,0,0
Ayo Akinola,Toronto FC,2,2,0,0,0
Bakaye Dibassy,Minnesota United,16,16,0,0,0
Ben Bender,Charlotte,11,11,0,0,0
Ben Sweat,Sporting Kansas City,1,0,0,0,1
Benjamin Cremaschi,Inter Miami,2,0,2,0,0
Bernard Kamungo,FC Dallas,7,6,1,0,0
Bill Tuiloma,Charlotte,4,3,1,0,0
Birk Risa,New York City FC,1,1,0,0,0
Bobby Wood,New England Revolution,1,1,0,0,0
Bode Hidalgo,Real Salt Lake,4,4,0,0,0
Bongokuhle Hlongwane,Minnesota United,3,3,0,0,0
Brad Guzan,Atlanta United,8,8,0,0,0
Brad Smith,Houston Dynamo FC,5,5,0,0,0
Braian Galván,Colorado Rapids,5,5,0,0,0
Brandon Bye,New England Revolution,13,13,0,0,0
Brandon Servania,Toronto FC,4,4,0,0,0
Brandon Vazquez,Cincinnati,2,0,2,0,0
Brayan Vera,Real Salt Lake,2,1,0,0,1
Brecht Dejaegere,Charlotte,1,1,0,0,0
Brendan Hines-Ike,DC United,12,12,0,0,0
Brenner,Cincinnati,2,2,0,0,0
Brent Kallman,Minnesota United,2,2,0,0,0
Brian Gutiérrez,Chicago Fire FC,1,1,0,0,0
Bryan Acosta,Portland Timbers,1,0,1,0,0
Bryan Oviedo,Real Salt Lake,4,4,0,0,0
C.J. Sapong,Toronto FC,1,1,0,0,0
CJ Fodrey,Austin FC,5,5,0,0,0
Cade Cowell,San Jose Earthquakes,2,0,2,0,0
Caleb Wiley,Atlanta United,2,2,0,0,0
Calegari,LA Galaxy,9,9,0,0,0
Cameron Harper,New York Red Bulls,4,2,0,0,2
Carles Gil,New England Revolution,7,6,0,0,1
Carlos Akapo,San Jose Earthquakes,4,4,0,0,0
Carlos Gruezo,San Jose Earthquakes,5,3,1,0,1
Carlos Terán,Chicago Fire FC,6,6,0,0,0
Carlos Vela,LAFC,1,1,0,0,0
Cassius Mailula,Toronto FC,4,4,0,0,0
Chase Gasper,LA Galaxy,4,4,0,0,0
Chicharito,LA Galaxy,21,21,0,0,0
Chris Brady,Chicago Fire FC,2,2,0,0,0
Chris Mavinga,LA Galaxy,3,2,0,0,1
Chris Mueller,Chicago Fire FC,15,15,0,0,0
Christian Makoun,New England Revolution,2,0,2,0,0
Christian Ramírez,Columbus Crew,3,3,0,0,0
Claudio Bravo,Portland Timbers,1,1,0,0,0
Clint Irwin,Minnesota United,1,1,0,0,0
Cody Baker,Seattle Sounders FC,5,5,0,0,0
Cody Mizell,New York City FC,2,2,0,0,0
Cole Bassett,Colorado Rapids,5,5,0,0,0
Corentin Jean,Inter Miami,17,17,0,0,0
Cory Burke,New York Red Bulls,5,3,2,0,0
Cristhian Paredes,Portland Timbers,8,7,0,0,1
Cristian Arango,Real Salt Lake,4,4,0,0,0
Cristian Olivera,LAFC,1,0,1,0,0
Cristian Roldan,Seattle Sounders FC,12,11,1,0,0
Cristián Gutiérrez,Toronto FC,15,15,0,0,0
Cristián Gutiérrez,Vancouver Whitecaps,2,2,0,0,0
Cucho Hernández,Columbus Crew,9,8,0,0,1
Dairon Asprilla,Portland Timbers,6,6,0,0,0
Damion Lowe,Philadelphia Union,1,1,0,0,0
Damián Rivera,New England Revolution,5,5,0,0,0
Daniel,San Jose Earthquakes,5,5,0,0,0
Daniel Edelman,New York Red Bulls,1,1,0,0,0
Daniel Lovitz,Nashville SC,1,0,0,0,1
Daniel Pereira,Austin FC,1,0,0,0,1
Danny Musovski,Real Salt Lake,5,2,0,3,0
Dante Vanzeir,New York Red Bulls,11,11,0,0,0
Dantouma Toure,Colorado Rapids,8,8,0,0,0
Dany Rosero,Sporting Kansas City,1,1,0,0,0
David Ayala,Portland Timbers,26,26,0,0,0
David Bingham,Portland Timbers,2,2,0,0,0
David Ruíz,Inter Miami,2,0,2,0,0
Dayne St. Clair,Minnesota United,1,0,1,0,0
DeAndre Yedlin,Inter Miami,2,0,1,0,1
DeJuan Jones,New England Revolution,5,2,3,0,0
Deandre Kerr,Toronto FC,3,3,0,0,0
Denil Maldonado,LAFC,1,0,1,0,0
Derrick Etienne Jr.,Atlanta United,2,2,0,0,0
Derrick Jones,Charlotte,1,0,0,0,1
Derrick Williams,DC United,10,10,0,0,0
Diego Chará,Portland Timbers,5,4,0,0,1
Diego Fagundez,Austin FC,3,3,0,0,0
Diego Gómez,Inter Miami,4,3,1,0,0
Diego Palacios,LAFC,3,2,0,0,1
Diego Rosales,LAFC,5,5,0,0,0
Diego Rossi,Columbus Crew,1,1,0,0,0
Diego Rubio,Colorado Rapids,6,5,1,0,0
Djordje Petrovic,New England Revolution,1,0,0,1,0
Dominique Badji,Cincinnati,9,9,0,0,0
Doneil Henry,Minnesota United,3,3,0,0,0
Douglas Costa,LA Galaxy,9,8,0,0,1
Dru Yearwood,New York Red Bulls,7,7,0,0,0
Duncan McGuire,Orlando City,1,1,0,0,0
Dylan Borrero,New England Revolution,21,20,0,0,1
Dylan Nealis,New York Red Bulls,6,6,0,0,0
Dylan Teves,Seattle Sounders FC,10,10,0,0,0
Déiber Caicedo,Vancouver Whitecaps,2,2,0,0,0
Dénis Bouanga,LAFC,1,0,1,0,0
Edison Azcona,Inter Miami,15,13,2,0,0
Eduard Löwen,St. Louis City,4,4,0,0,0
Eldin Jakupovic,LAFC,3,3,0,0,0
Elias Manoel,New York Red Bulls,2,2,0,0,0
Eloy Room,Columbus Crew,9,9,0,0,0
Ema Twumasi,FC Dallas,5,4,0,0,1
Emanuel Reynoso,Minnesota United,2,2,0,0,0
Emiliano Rigoni,Austin FC,1,1,0,0,0
Emmanuel Iwe,Minnesota United,2,2,0,0,0
Enzo Copetti,Charlotte,6,6,0,0,0
Ercan Kara,Orlando City,3,2,0,1,0
Erik Holt,Real Salt Lake,23,23,0,0,0
Erik López,Atlanta United,6,6,0,0,0
Erik Sviatchenko,Houston Dynamo FC,4,4,0,0,0
Erik Thommy,Sporting Kansas City,1,1,0,0,0
Eriq Zavaleta,LA Galaxy,1,0,1,0,0
Eryk Williamson,Portland Timbers,23,23,0,0,0
Esmir Bajraktarevic,New England Revolution,1,0,1,0,0
Ethan Bristow,Minnesota United,1,0,0,0,1
Ethan Dobbelaere,Seattle Sounders FC,6,6,0,0,0
Evander,Portland Timbers,4,4,0,0,0
Facundo Farías,Inter Miami,1,0,1,0,0
Facundo Quignon,FC Dallas,3,3,0,0,0
Fafá Picault,Nashville SC,1,0,0,0,1
Favian Loyola,Orlando City,16,16,0,0,0
Federico Navarro,Chicago Fire FC,19,16,0,0,3
Felipe Mora,Portland Timbers,19,19,0,0,0
Franco Escobar,Houston Dynamo FC,1,0,0,0,1
Franco Fragapane,Minnesota United,2,2,0,0,0
Franco Ibarra,Atlanta United,1,0,0,0,1
Franco Ibarra,Toronto FC,2,1,0,1,0
Franco Negri,Inter Miami,14,14,0,0,0
Frankie Amaya,New York Red Bulls,1,1,0,0,0
Gabriele Corbo,CF Montreal,1,0,0,0,1
Gadi Kinda,Sporting Kansas City,10,9,1,0,0
Gastón Brugman,LA Galaxy,8,8,0,0,0
Gastón Giménez,Chicago Fire FC,2,0,0,0,2
Gastón González,Orlando City,11,11,0,0,0
Gavin Beavers,Real Salt Lake,1,1,0,0,0
George Campbell,CF Montreal,9,9,0,0,0
George Marks,Charlotte,5,5,0,0,0
Geovane Jesus,FC Dallas,15,15,0,0,0
Gerardo Valenzuela,Cincinnati,4,4,0,0,0
Giorgio Chiellini,LAFC,3,3,0,0,0
Giorgos Giakoumakis,Atlanta United,5,5,0,0,0
Graham Zusi,Sporting Kansas City,10,10,0,0,0
Greg Ranjitsingh,Toronto FC,10,10,0,0,0
Gregore,Inter Miami,25,25,0,0,0
Griffin Dorsey,Houston Dynamo FC,1,0,0,0,1
Gustavo Bou,New England Revolution,12,12,0,0,0
Gustavo Vallecilla,Columbus Crew,4,4,0,0,0
Guzmán Corujo,Charlotte,15,15,0,0,0
Gyasi Zardes,Austin FC,4,4,0,0,0
Hamady Diop,Charlotte,10,10,0,0,0
Hassan Ndam,New York Red Bulls,1,0,0,0,1
Hassani Dotson,Minnesota United,1,1,0,0,0
Henry Kessler,New England Revolution,16,16,0,0,0
Hugo Mbongue,Toronto FC,1,1,0,0,0
Hunter Sulte,Portland Timbers,2,2,0,0,0
Héber,Seattle Sounders FC,2,2,0,0,0
Héctor Herrera,Houston Dynamo FC,1,0,0,0,1
Ian Fray,Inter Miami,24,24,0,0,0
Ian Harkes,New England Revolution,5,5,0,0,0
Ian Murphy,Cincinnati,1,1,0,0,0
Ibrahim Aliyu,Houston Dynamo FC,1,1,0,0,0
Ifunanyachi Achara,Houston Dynamo FC,29,29,0,0,0
Isaiah Parker,FC Dallas,2,2,0,0,0
Isak Jensen,St. Louis City,4,4,0,0,0
Jacen Russell-Rowe,Columbus Crew,1,1,0,0,0
Jack Elliott,Philadelphia Union,1,0,0,0,1
Jack Lynn,Orlando City,4,4,0,0,0
Jack Maher,Nashville SC,1,1,0,0,0
Jack Panayotou,New England Revolution,3,0,3,0,0
Jack Price,Colorado Rapids,26,26,0,0,0
Jack Skahan,San Jose Earthquakes,7,7,0,0,0
Jackson Ragen,Seattle Sounders FC,1,1,0,0,0
Jackson Yueill,San Jose Earthquakes,2,0,1,0,1
Jacob Castro,Seattle Sounders FC,5,5,0,0,0
Jacob Greene,DC United,2,2,0,0,0
Jacob Jackson,New England Revolution,16,16,0,0,0
Jacob Shaffelburg,Nashville SC,2,1,1,0,0
Jahkeele Marshall-Rutty,Toronto FC,1,0,0,0,1
Jairo Torres,Chicago Fire FC,10,10,0,0,0
Jake Nerwinski,St. Louis City,1,0,0,0,1
Jakob Glesnes,Philadelphia Union,4,4,0,0,0
