game,team,player,game_id,player_id,reason,status
2023-02-25 Nashville SC-New York City FC,Nashville SC,Nick DePuy,1701704,334518,injured,Out
2023-02-26 Atlanta United-San Jose Earthquakes,Atlanta United,Caleb Wiley,1701721,433594,injured,Out
2023-02-26 Atlanta United-San Jose Earthquakes,Atlanta United,Derrick Etienne Jr.,1701721,318923,injured doubtful,Doubtful
2023-02-26 Atlanta United-San Jose Earthquakes,Atlanta United,Giorgos Giakoumakis,1701721,347809,unfit,Doubtful
2023-02-26 Atlanta United-San Jose Earthquakes,Atlanta United,Santiago Sosa,1701721,364065,suspended,Out
2023-02-26 Atlanta United-San Jose Earthquakes,San Jose Earthquakes,Ousseni Bouda,1701721,433889,injured,Out
2023-02-26 Charlotte FC-New England Revolution,Charlotte FC,Adam Armour,1701724,433531,injured,Out
2023-02-26 Charlotte FC-New England Revolution,Charlotte FC,Guzmán Corujo,1701724,433524,injured,Out
2023-02-26 Charlotte FC-New England Revolution,Charlotte FC,Vinicius Mello,1701724,417866,injured,Out
2023-02-26 Charlotte FC-New England Revolution,New England Revolution,Jacob Jackson,1701724,433537,injured,Out
2023-02-26 Charlotte FC-New England Revolution,New England Revolution,Maciel,1701724,414560,injured,Out
2023-02-26 FC Dallas-Minnesota United,Minnesota United,Hassani Dotson,1701735,371031,injured,Out
2023-02-26 FC Dallas-Minnesota United,Minnesota United,Patrick Weah,1701735,414571,injured,Out
2023-02-26 Inter Miami CF-CF Montreal,Inter Miami CF,Corentin Jean,1701844,118351,injured,Out
2023-02-26 Inter Miami CF-CF Montreal,Inter Miami CF,Ian Fray,1701844,445274,injured,Out
2023-02-26 Inter Miami CF-CF Montreal,Inter Miami CF,Robbie Robinson,1701844,393147,injured,Out
2023-02-26 Orlando City-New York Red Bulls,New York Red Bulls,Dru Yearwood,1701729,342789,injured,Out
2023-02-26 Orlando City-New York Red Bulls,Orlando City,Antônio Carlos,1701729,114164,injured,Out
2023-02-27 Seattle Sounders FC-Colorado Rapids,Seattle Sounders FC,Raúl Ruidíaz,1701719,85915,injured,Out
