FirstName,LastName,Team,Position,SalaryBase ($),SalaryGuaranteed ($)
Luis,Abram,Atlanta United,D,556364.0,695977.0
Lalas,Abubakar,Colorado Rapids,D,665000.0,702125.0
Nicolás,Acevedo,New York City FC,D-M,230000.0,274800.0
Alonso,Aceves,Chicago Fire,D,330000.0,368900.0
Ifunanyachi,Achara,Houston Dynamo,F,85444.0,85444.0
Kellyn,Acosta,LAFC,D-M,1250000.0,1365000.0
Bryan,Acosta,Portland Timbers,M,675000.0,731667.0
Luciano,Acosta,Cincinnati,M-F,1943500.0,2222854.0
Sam,Adekugbe,Vancouver Whitecaps,D,729516.0,817516.0
Samuel,Adeniran,St. Louis City SC,F,85444.0,85444.0
Harrison,Afful,Charlotte,D,85444.0,85444.0
Stephen,Afrifa,Sporting Kansas City,F,67360.0,67360.0
Willy,Agada,Sporting Kansas City,F,225000.0,271875.0
London,Aghedo,Cincinnati,D,67360.0,67360.0
Oskar,Agren,San Jose Earthquakes,D,85444.0,85444.0
Daniel,Aguirre,LA Galaxy,M,85444.0,85444.0
Patrick,Agyemang,Charlotte,F,67360.0,67360.0
Ali,Ahmed,Vancouver Whitecaps,M,85444.0,94819.0
Carlos,Akapo,San Jose Earthquakes,D,525000.0,570111.0
Matai,Akinmboni,DC United,D,67360.0,76860.0
Ayo,Akinola,San Jose Earthquakes,F,700000.0,771875.0
Joey,Akpunonu,Cincinnati,D,67360.0,69860.0
Jordi,Alba,Inter Miami,D,1000000.0,1250000.0
Caio,Alexandre Souza e Silva,Vancouver Whitecaps,M,500000.0,562500.0
Tony,Alfaro,LA Galaxy,D,120000.0,120000.0
Ibrahim,Aliyu,Houston Dynamo,F,425004.0,476383.0
Noah,Allen,Inter Miami,D,67360.0,67360.0
Rasmus,Alm,St. Louis City SC,M,220000.0,284425.0
Thiago,Almada,Atlanta United,M-F,1650000.0,2332000.0
Osvaldo,Alonso,Atlanta United,D-M,88200.0,88200.0
Jozy,Altidore,Major League Soccer,F,2381139.0,2939963.0
Fernando,Álvarez,CF Montreal,D,85444.0,117444.0
Leonardo,Alves Chú Franco,Seattle Sounders FC,M,550000.0,550000.0
Max,Alves da Silva,Colorado Rapids,M-F,232000.0,313360.0
Antony,Alves Santos,Portland Timbers,M,425000.0,490042.0
Frankie,Amaya,New York Red Bulls,M-F,350000.0,406406.0
Kemy,Amiche,Nashville SC,M,67360.0,67360.0
Malte,Amundsen,Columbus Crew,D,300000.0,338700.0
Max,Anchor,Vancouver Whitecaps,GK,67360.0,74802.0
Sebastian,Anderson,Colorado Rapids,D,120000.0,121667.0
