Matches Played,Starts,Minutes Played,Goals,Assists,xG,Non-Penalty xG,xAG,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Penalty Kicks Made,Penalty Kicks Attempted,Total Passes,Successful Passes,Pass Accuracy,Key Passes,Short Passes,Long Passes,Passes into Penalty Area,Progressive Passes Received,Total Dribbles,Successful Dribbles,Dribble Success Rate,Progressive Carries,Progressive Passes,Touches,Touches in Opponent’s Box,Tackles,Tackles Won,Tackles Lost,Interceptions,Recoveries,Clearances,Blocks,Aerial Duels Won,Aerial Duels Lost,Fouls Committed,Fouls Won,Yellow Cards,Red Cards
1,1,74,0,0,0.21,0.21,0.0,2,0,2,0,0,0,17,13,76.47,0,10,1,1,11,0,0,0.0,2,2,29,4,0,0,0,0,1,1,0,0,0,2,0,0,0
1,1,102,0,0,0.0,0.0,0.06,0,0,0,0,0,0,75,72,96.0,1,16,6,1,13,0,0,0.0,3,9,126,0,5,4,1,2,5,0,4,0,0,2,2,0,0
1,1,74,0,0,0.0,0.0,0.03,0,0,0,0,0,0,51,46,90.2,1,10,3,1,10,0,0,0.0,3,4,86,2,2,1,1,1,2,0,2,0,1,3,0,0,0
1,1,74,0,0,0.03,0.03,0.0,1,0,1,0,0,0,39,36,92.31,0,4,5,0,0,0,0,0.0,1,12,67,0,6,5,1,0,1,1,0,0,1,2,1,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,67,63,94.03,0,8,9,2,5,1,1,100.0,2,7,121,0,3,3,0,0,4,2,2,1,0,3,1,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,77,74,96.1,0,5,9,1,2,0,0,0.0,0,16,132,0,4,2,2,0,6,2,0,0,0,2,0,0,0
1,1,102,0,0,0.06,0.06,0.08,2,0,0,2,0,0,31,20,64.52,1,8,5,7,8,10,4,40.0,12,9,65,6,1,1,0,1,4,0,3,0,0,0,2,0,0
1,1,34,0,0,0.0,0.0,0.13,0,0,0,0,0,0,38,28,73.68,2,8,5,5,6,0,0,0.0,3,10,55,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,102,1,1,0.08,0.08,0.23,1,1,0,0,0,0,68,62,91.18,1,18,7,8,21,4,2,50.0,10,12,125,1,0,0,0,0,9,0,0,0,0,1,1,0,0
1,1,78,0,0,0.0,0.0,0.0,0,0,0,0,0,0,52,51,98.08,0,7,7,1,7,3,2,66.67,0,5,101,0,6,5,1,2,8,0,0,0,0,1,2,0,0
1,1,102,0,0,0.0,0.0,0.04,0,0,0,0,0,0,54,48,88.89,1,17,3,3,7,2,0,0.0,6,4,97,5,0,0,0,1,3,1,3,0,0,0,0,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,46,43,93.48,0,11,2,0,0,0,0,0.0,0,1,82,0,0,0,0,1,6,5,1,1,0,0,0,0,0
1,1,12,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,8,100.0,0,2,0,0,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,78,0,0,0.41,0.41,0.0,2,2,0,0,0,0,7,7,100.0,0,1,1,0,4,2,1,50.0,3,0,33,3,1,1,0,0,4,0,0,0,0,2,6,0,0
1,1,77,0,0,0.0,0.0,0.06,0,0,0,0,0,0,55,46,83.64,1,14,3,4,1,1,1,100.0,1,10,94,0,1,0,1,0,2,0,1,0,0,0,1,0,0
1,1,102,0,0,0.31,0.31,0.06,4,2,2,0,0,0,58,47,81.03,2,11,12,3,13,3,1,33.33,13,5,115,5,0,0,0,1,6,0,0,0,0,2,2,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,55,51,92.73,0,13,3,2,7,3,1,33.33,5,6,94,4,1,1,0,3,4,1,1,0,0,2,1,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,31,25,80.65,0,3,7,0,0,0,0,0.0,0,2,52,0,0,0,0,4,2,2,3,1,1,1,2,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51,48,94.12,0,5,5,0,2,0,0,0.0,1,7,94,1,2,2,0,3,5,1,2,0,0,0,0,0,0
1,1,37,0,0,0.29,0.29,0.0,3,1,1,1,0,0,20,14,70.0,0,5,2,2,8,1,1,100.0,6,3,37,5,0,0,0,0,3,0,1,0,0,0,0,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,34,29,85.29,0,3,10,0,0,1,1,100.0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,102,0,0,0.0,0.0,0.0,0,0,0,0,0,0,33,27,81.82,0,2,13,1,0,0,0,0.0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,14,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,4,100.0,0,1,0,0,0,0,0,0.0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,76,0,0,0.0,0.0,0.0,0,0,0,0,0,0,32,28,87.5,0,3,3,1,5,0,0,0.0,1,5,57,0,2,1,1,0,2,0,2,0,0,1,0,0,0
1,0,68,0,1,0.03,0.03,0.08,1,0,0,1,0,0,59,48,81.36,0,14,6,5,4,0,0,0.0,8,11,99,3,5,3,2,1,4,1,2,0,0,0,0,0,0
1,0,65,2,1,0.19,0.19,0.2,3,2,1,0,0,0,52,45,86.54,1,10,5,12,12,2,1,50.0,13,14,93,8,0,0,0,2,4,0,2,0,0,1,0,0,0
1,0,28,1,0,0.14,0.14,0.0,1,1,0,0,0,0,27,24,88.89,0,8,1,1,8,1,1,100.0,4,4,51,1,0,0,0,0,1,0,0,0,1,1,1,0,0
1,0,28,0,0,0.0,0.0,0.0,0,0,0,0,0,0,24,22,91.67,0,6,3,1,2,0,0,0.0,1,5,46,1,1,1,0,0,2,1,0,0,0,1,0,0,0
1,0,28,0,0,0.06,0.06,0.0,1,0,0,1,0,0,17,16,94.12,0,3,1,0,6,1,1,100.0,3,0,32,5,0,0,0,0,2,0,1,0,1,0,0,0,0
1,0,24,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,3,100.0,0,1,0,0,2,0,0,0.0,0,0,9,0,0,0,0,1,0,1,1,1,0,0,1,0,0
1,0,25,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,6,75.0,0,0,3,0,0,0,0,0.0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,24,0,0,0.0,0.0,0.0,0,0,0,0,0,0,11,10,90.91,0,1,0,0,0,0,0,0.0,0,0,23,0,1,0,1,1,0,0,0,1,0,0,1,0,0
